,R0,R1,R2,R3,R4,R5
R0,52,0,0,2,2,1
R1,0,10,20,16,8,2
R2,2,21,52,7,1,1
R3,1,18,11,38,3,4
R4,1,6,2,5,47,1
R5,1,1,0,6,1,45
