,R0,R1,R2,R3,R4,R5
R0,0.9122807017543859,0.0,0.0,0.03508771929824561,0.03508771929824561,0.017543859649122806
R1,0.0,0.17857142857142858,0.35714285714285715,0.2857142857142857,0.14285714285714285,0.03571428571428571
R2,0.023529411764705882,0.24705882352941178,0.611764705882353,0.08235294117647059,0.011764705882352941,0.011764705882352941
R3,0.013333333333333334,0.24,0.14666666666666667,0.5066666666666667,0.04,0.05333333333333334
R4,0.016129032258064516,0.0967741935483871,0.03225806451612903,0.08064516129032258,0.7580645161290323,0.016129032258064516
R5,0.018518518518518517,0.018518518518518517,0.0,0.1111111111111111,0.018518518518518517,0.8333333333333334
