sasdate,P_R0,P_R1,P_R2,P_R3,P_R4,P_R5
1992-03-01,0.15431228310804765,0.16163593190797731,0.1469703449547907,0.18866683484474758,0.16653655529963207,0.18187804988480466
1992-04-01,0.1641340566600225,0.1582903682160042,0.1579724774838032,0.1644418661731748,0.17063449596415955,0.18452673550283574
1992-05-01,0.16071372530381978,0.15925060303214883,0.16080480944525807,0.16527678378267804,0.1687030104691048,0.1852510679669904
1992-06-01,0.16673228854687813,0.15459228349381338,0.15680269065622357,0.16633746256192228,0.17129587175379632,0.18423940298736616
1992-07-01,0.17646276657333462,0.15799958151728868,0.1661766240472078,0.15293614510362152,0.16344444874028835,0.18298043401825898
1992-08-01,0.16945792683652067,0.16021393571307208,0.16437647128758084,0.1529790361397925,0.17077763447983407,0.1821949955432
1992-09-01,0.16791806069730966,0.15759611079892066,0.16706757665553315,0.15493581939881446,0.16741106909090417,0.18507136335851787
1992-10-01,0.15151546013114917,0.15906542836560603,0.15833995896671843,0.1791148307319936,0.17099325750478142,0.18097106429975132
1992-11-01,0.15497484613687304,0.16957310683786678,0.14368801298418712,0.18501667530679247,0.17261491893731895,0.17413243979696166
1992-12-01,0.15508474069625108,0.16782823469500086,0.15230373344093978,0.17433463698490906,0.17195347113233972,0.17849518305055936
1993-01-01,0.15926676811551754,0.15438729349188832,0.163314321823044,0.1688833612137123,0.17180385322824723,0.1823444021275906
1993-02-01,0.1433763330698917,0.16341723190758614,0.1645703071417317,0.1655566549808593,0.17942391079715195,0.18365556210277903
1993-03-01,0.17280191645498125,0.16024487719149147,0.1621014934560177,0.15656029854159098,0.17054311978200534,0.1777482945739132
1993-04-01,0.1403579147685836,0.15710331133605904,0.16485022168605465,0.1761414237616897,0.1788155735677629,0.1827315548798501
1993-05-01,0.14301898340440974,0.171915503366859,0.1557675559712927,0.1742149514208587,0.18115844125413616,0.17392456458244376
1993-06-01,0.1392743680220974,0.1755147840001623,0.1532637684422853,0.17208213245992196,0.17486142686637068,0.18500352020916244
1993-07-01,0.12436372607922572,0.1632296017124425,0.1683030250055968,0.17807374115943708,0.18013755680184085,0.18589234924145706
1993-08-01,0.13272123804208596,0.16059543972441756,0.16926699821126262,0.1674447977277467,0.18284676190371663,0.18712476439077042
1993-09-01,0.12660049685806474,0.17195606918258136,0.1736940931622872,0.17297801858868672,0.1712697166464441,0.183501605561936
1993-10-01,0.12948518702866546,0.1527891901280077,0.16882509580107047,0.19584581616941873,0.17399242165838785,0.17906228921444967
1993-11-01,0.12748524337262448,0.18559757172850386,0.14502843001930907,0.19346457580014342,0.1755165686722971,0.1729076104071221
1993-12-01,0.13590976991570475,0.17765707169827258,0.1592830304274931,0.18540841822074106,0.1683208151950758,0.17342089454271278
1994-01-01,0.13765893720541741,0.1654656216100103,0.1659175850274301,0.1767937297812556,0.17554467911983265,0.1786194472560539
1994-02-01,0.14307456124581325,0.16177024093613196,0.15571142703754015,0.19195504574846575,0.17328212854507932,0.17420659648696957
1994-03-01,0.15381361024142048,0.16995778967228392,0.14420528330339835,0.1958262457599238,0.1706880671836487,0.16550900383932474
1994-04-01,0.152294317289328,0.1733223472816205,0.14070158893442417,0.1957930249116309,0.17301427536976113,0.16487444621323516
1994-05-01,0.14998174158021121,0.1685214209767777,0.14383062274200298,0.19964158254350656,0.17345697059741302,0.16456766156008848
1994-06-01,0.12762551006383854,0.16031042002054682,0.16280826760690573,0.19413394302221765,0.17836167346651607,0.17676018581997527
1994-07-01,0.13955568632339158,0.1690135178889137,0.14666332480332986,0.1957413331492158,0.17822581048179323,0.17080032735335587
1994-08-01,0.13665752668426404,0.16824675834805553,0.15697994437723234,0.1952746690127805,0.17182016126735342,0.1710209403103142
1994-09-01,0.13319076788036158,0.18500293561551784,0.14748917650289822,0.1938081741424362,0.17503991151287457,0.1654690343459115
1994-10-01,0.1526427439594834,0.17008162428928356,0.14255445377363538,0.19805975040761287,0.16872990264476015,0.16793152492522462
1994-11-01,0.1480203406312308,0.16469157550869443,0.15040547369405524,0.2009174368081607,0.17332285133873565,0.16264232201912324
1994-12-01,0.14948874762668657,0.17170746426442693,0.14656613283451458,0.1960357716957471,0.16923865737748495,0.16696322620113999
1995-01-01,0.1421733805071092,0.16376592833682052,0.15835219507130496,0.1869892159190207,0.17930959620250092,0.16940968396324368
1995-02-01,0.13904401875485506,0.16994458567797868,0.17774375446252394,0.16794684684258745,0.17338549709815704,0.17193529716389772
1995-03-01,0.1293119477829971,0.1764988103980184,0.18393800708639904,0.16637236599272678,0.17309415567168723,0.17078471306817142
1995-04-01,0.15362835087512564,0.1633991616066063,0.18127933141603148,0.16459823781732283,0.16818761820960815,0.1689073000753057
1995-05-01,0.153976075158444,0.174554745613493,0.18139593313592348,0.1551533006270351,0.161905572268194,0.17301437319691038
1995-06-01,0.143908685407576,0.16996621234277312,0.19819474781077162,0.15468226293077597,0.16630062157859438,0.166947469929509
1995-07-01,0.1365331670047704,0.17939399637968168,0.19081975643693921,0.15900432745153897,0.1667582215848043,0.16749053114226545
1995-08-01,0.1258265319154854,0.17507684214550337,0.17715060976121133,0.18966082630436532,0.16459700190859014,0.16768818796484453
1995-09-01,0.12726846307206863,0.17914250855877745,0.1962418272287974,0.16350542130518378,0.16498372444990614,0.16885805538526658
1995-10-01,0.1318531251809331,0.1699483281311025,0.19741867787433182,0.1640168360152496,0.16995069559517975,0.16681233720320326
1995-11-01,0.13128433324159164,0.18490592230779002,0.19312012915287174,0.1606451951381951,0.16140809934913394,0.1686363208104174
1995-12-01,0.1395689234595925,0.16680377475381356,0.19646282275399493,0.16469648572752862,0.1617317728375592,0.1707362204675111
1996-01-01,0.166976383491617,0.16249298007809365,0.1857429423658852,0.15581967221714674,0.1594380874542762,0.1695299343929812
1996-02-01,0.145211224473708,0.18270045084414274,0.1758922505517534,0.1707005469774364,0.1604594530802935,0.16503607407266607
1996-03-01,0.1423060543999128,0.16926830845121435,0.17124495850795604,0.18567571256248686,0.16676146929024546,0.16474349678818462
1996-04-01,0.1420333357027021,0.1705556153374397,0.1709599297775575,0.18362458259784786,0.16202060795766957,0.17080592862678323
1996-05-01,0.12738708821371766,0.1874409118080095,0.16750545982665488,0.184563200458451,0.16564607128283126,0.1674572684103357
1996-06-01,0.11554256452302164,0.18748982259198807,0.16560890031808073,0.19348211283100572,0.16974270956455192,0.16813389017135194
1996-07-01,0.12367558051494881,0.16972393978053582,0.1770609146630678,0.18489883073686764,0.1703510622547268,0.17428967204985307
1996-08-01,0.12039471586368801,0.17618057345201307,0.18543472796039018,0.16999541786480293,0.17120048498038046,0.17679407987872536
1996-09-01,0.11947479648931641,0.16659258098478755,0.17196631530813977,0.2022931501254593,0.17050768892926915,0.16916546816302774
1996-10-01,0.12440948831341926,0.17553816205860825,0.19039706435302403,0.1645813043697682,0.17266323009629211,0.17241075080888807
1996-11-01,0.12592447469793536,0.1758617887703311,0.18838288402872713,0.17352979634893248,0.16475967794889085,0.17154137820518306
1996-12-01,0.11028766240894534,0.17743045691980172,0.18750095222826835,0.1853972788834381,0.17130543167892265,0.1680782178806238
1997-01-01,0.1093959199746601,0.19107733054980905,0.1725186254530563,0.18690362300979768,0.1694109742769511,0.17069352673572571
1997-02-01,0.11755958056096169,0.18322063712528244,0.17927224781207018,0.18198450513480038,0.16528311761757264,0.17267991174931274
1997-03-01,0.11896980343670924,0.1864759682323838,0.16511124196398733,0.19807601496900523,0.1706520600138567,0.16071491138405758
1997-04-01,0.1251609136499291,0.17890364292914618,0.16928552845986475,0.1875645802968035,0.17482933008054796,0.1642560045837085
1997-05-01,0.12721042353503567,0.1753693859569118,0.18829548917555594,0.17150502842985416,0.16839864158251627,0.16922103132012617
1997-06-01,0.13055069880347073,0.17011535204964484,0.1935928324009007,0.16953674135648597,0.16744963441809937,0.16875474097139842
1997-07-01,0.12297289304281735,0.1797106347030666,0.19272298494533624,0.17204589522296543,0.16113752296138192,0.17141006912443255
1997-08-01,0.12340764720710015,0.1706815104586218,0.18558470392393453,0.18462330187539203,0.17189958394468782,0.1638032525902638
1997-09-01,0.11621872981894628,0.17901000554159716,0.19326723736433313,0.18070463093743572,0.16293764556425913,0.16786175077342866
1997-10-01,0.12576042781025712,0.18017687313975903,0.18933753152456095,0.17598374445776965,0.16371209339832643,0.16502932966932676
1997-11-01,0.12546360766426867,0.18824957554103885,0.1815906261401058,0.17825976579210392,0.16603081240145118,0.1604056124610314
1997-12-01,0.12456870946334214,0.18287807628830716,0.18755652671050094,0.17567660051948147,0.16750274201437945,0.1618173450039889
1998-01-01,0.13239293540920663,0.17978294698053715,0.19656452978476208,0.16328565449513543,0.16410687061332838,0.1638670627170304
1998-02-01,0.12026971958285139,0.1827444448261268,0.19590752741295894,0.17379300747314566,0.16497285163550443,0.16231244906941275
1998-03-01,0.11940818886231795,0.18114148593751217,0.19711004819645025,0.17203739997476636,0.16553317194472483,0.16476970508422847
1998-04-01,0.13032543656362347,0.17210287959343937,0.19213136260749364,0.17474306760715938,0.1665681225163926,0.16412913111189148
1998-05-01,0.12029232079667801,0.176022974793212,0.191082936681659,0.1821041288247017,0.16417527831817702,0.1663223605855724
1998-06-01,0.14032671873807676,0.18210007983700788,0.18915185061806267,0.15899952345276092,0.16301536372145883,0.16640646363263298
1998-07-01,0.14540315862794514,0.1677239958514095,0.19340080902131643,0.16125128212267043,0.1589168989310532,0.1733038554456053
1998-08-01,0.14417711386293208,0.17634841429917564,0.17928348638853256,0.17648684600980608,0.15915206730706088,0.16455207213249273
1998-09-01,0.1618532555331496,0.17324284666393594,0.18951118208950102,0.15153672894527184,0.1559368055952662,0.16791918117287538
1998-10-01,0.16244200728148375,0.16080237199280467,0.19558448977993853,0.1554388295982683,0.15544735904744186,0.1702849423000629
1998-11-01,0.13508315314939298,0.18926054316802457,0.17694380374074276,0.17490672510979918,0.16308486582701545,0.1607209090050251
1998-12-01,0.11730644366624005,0.17585618434683573,0.19783063604804255,0.1778206624654631,0.16030539521463447,0.17088067825878395
1999-01-01,0.12743455209456903,0.17294861249906898,0.1905520731183503,0.17525683008546694,0.1597746061515346,0.17403332605101016
1999-02-01,0.12457758197840901,0.19545832376232752,0.17472970030256885,0.1828553986474072,0.15561593957100728,0.16676305573828018
1999-03-01,0.12538050392956532,0.16472909339850764,0.1916342665326244,0.18338506579441377,0.15982504110807422,0.17504602923681464
1999-04-01,0.13686629346286222,0.1522235477132461,0.19501797231527865,0.17761694842396242,0.16557653076597095,0.17269870731867956
1999-05-01,0.14111110410553998,0.19800881231278203,0.16099171499230955,0.17569139932214675,0.1570877630780529,0.16710920618916866
1999-06-01,0.13001224902686206,0.18128693890396255,0.16555507571832048,0.18693322272240057,0.16237233826690403,0.17384017536155028
1999-07-01,0.12283255426503063,0.16144916314658825,0.19702969063727369,0.18308144496013806,0.16419789050057804,0.17140925649039118
1999-08-01,0.11531020210605417,0.18536461535338292,0.17110265008828718,0.19771546750789049,0.15743831382201018,0.17306875112237508
1999-09-01,0.11897376211590661,0.16787913599528087,0.19399068736153538,0.17738457473532165,0.16811038727087535,0.17366145252108006
1999-10-01,0.13323718658324835,0.19345991321364972,0.16146426521503815,0.19151391150948047,0.15462822540094662,0.1656964980776366
1999-11-01,0.11378648448491831,0.1799308251937604,0.18756602624560034,0.18668611409999625,0.16293346572234135,0.16909708425338332
1999-12-01,0.13255948673056298,0.17611077287910543,0.1678791194516458,0.1954175113557748,0.1604835540718738,0.1675495555110372
2000-01-01,0.1468716773185908,0.17211878835465466,0.16624027781744763,0.18331486945377415,0.16499554987004697,0.16645883718548588
2000-02-01,0.1315585278357639,0.16579277010032814,0.1781489893600753,0.19006088598889995,0.16082486590141645,0.17361396081351627
2000-03-01,0.12690729088716482,0.17458169186029734,0.1807151533847115,0.18558882950127925,0.1646914320886216,0.16751560227792545
2000-04-01,0.15375480767531977,0.19736253943040666,0.1686594852773357,0.16075462584457392,0.15474762586453733,0.16472091590782673
2000-05-01,0.15500862621327466,0.16641484585062435,0.17148037912193148,0.18220919369451186,0.1571657664092019,0.16772118871045588
2000-06-01,0.1592470528507409,0.1577365485280743,0.18856529320466983,0.16617676219658575,0.16281938605866023,0.16545495716126893
2000-07-01,0.14769741993839555,0.1917960611202772,0.18166197732063838,0.156322303658436,0.15989693132949082,0.16262530663276187
2000-08-01,0.13777779412693103,0.19166430387899622,0.18983133784646503,0.15456115986769053,0.15817893242637415,0.167986471853543
2000-09-01,0.1481033292380487,0.15072641573335424,0.1923695298701366,0.1779747937375275,0.16065762054692476,0.1701683108740082
2000-10-01,0.15071109663044704,0.19073993678712053,0.17995301805939568,0.15679168631287171,0.1569066399959809,0.16489762221418408
2000-11-01,0.13331461615165482,0.1768822806286116,0.19593485472697927,0.1697248659701678,0.15654483424446375,0.16759854827812273
2000-12-01,0.1661767360771399,0.169357066554856,0.18984910215046857,0.14902922037890853,0.15424084251571013,0.17134703232291684
2001-01-01,0.17760664666100137,0.15529473590642656,0.19048382865081115,0.14923765262016872,0.1558425395148378,0.17153459664675422
2001-02-01,0.16397216788733224,0.18010510497292923,0.1782221921770181,0.15069341690593227,0.1551596915457737,0.1718474265110144
2001-03-01,0.16825702581783805,0.17258677625734392,0.18595598094438504,0.1456554519939325,0.15264912047642198,0.17489564451007844
2001-04-01,0.17449724001251932,0.15753920627271553,0.18469966711671193,0.15222080957485226,0.15335840473680315,0.17768467228639787
2001-05-01,0.16301660548558145,0.1585226050398136,0.18309033670101268,0.1572446692645471,0.157496250438225,0.18062953307082008
2001-06-01,0.16963598228685806,0.17452226055255948,0.17503854353547857,0.14578644558924148,0.15072893900308096,0.18428782903278154
2001-07-01,0.16324798085022674,0.17893360589399968,0.1677522032121671,0.15245113227955792,0.1532792498771719,0.1843358278868766
2001-08-01,0.17151192288803255,0.15429508121234647,0.17902190697518133,0.15749552869170336,0.1514234341362441,0.18625212609649214
2001-09-01,0.18088970873985685,0.15789385119002905,0.17342934945288577,0.15201170731573044,0.15874101502197732,0.1770343682795206
2001-10-01,0.17467281809845608,0.1691671013799004,0.16801641272623807,0.15319609969392967,0.15663655536502866,0.1783110127364473
2001-11-01,0.18140400967353404,0.15502687210520724,0.1701647110773046,0.15405859778333345,0.1551717438344669,0.18417406552615376
2001-12-01,0.17326916995107766,0.16187180814280783,0.1609518965489535,0.16006258745859184,0.15526343330761777,0.18858110459095143
2002-01-01,0.16877053629287395,0.15282316202310256,0.16599307655880324,0.16792820834208974,0.15141030863736046,0.19307470814577
2002-02-01,0.15813028247592567,0.16175736471940153,0.1608676744497915,0.17112777337997304,0.15341865652474912,0.19469824845015904
2002-03-01,0.1571860955345438,0.15654279896613024,0.15638922247542913,0.18290022093491703,0.15753790574064788,0.18944375634833197
2002-04-01,0.1623748034384452,0.15792336396097498,0.15847892482002765,0.1704655674081633,0.15380632341284164,0.19695101695954714
