sasdate_t,sasdate_tp1,hard_label_t,pca_p_components,typical_k_r,p_R0_t,ptp1_R0,p_R1_t,ptp1_R1,p_R2_t,ptp1_R2,p_R3_t,ptp1_R3,p_R4_t,ptp1_R4,p_R5_t,ptp1_R5
1996-02-01,1996-03-01,0,29,5,0.19118636880865877,0.10948826483439628,0.17730465130086562,0.09516498605609723,0.15498819786543633,0.19535821700899736,0.16362928684124867,0.12121254055252223,0.15496916907382227,0.12693530802347247,0.15792232610996848,0.06743471407170616
1996-03-01,1996-04-01,2,29,5,0.1710017192125571,0.11875316682328721,0.163186840938825,0.13205269726998972,0.18226753870904336,0.15707042814126923,0.1676283086219752,0.04773077091484127,0.16139211663081338,0.1505695521943765,0.15452347588678594,0.15764240951652012
1996-04-01,1996-05-01,0,30,5,0.1908148959790444,0.1948250047238273,0.16000576769980915,0.12118230254946985,0.16093862214792604,0.26190867723817485,0.1521742340000909,0.0736408920181192,0.16638121029022424,0.04294374533836839,0.16968526988290528,0.07047650744001319
1996-05-01,1996-06-01,0,29,5,0.20243860915413214,0.1195405470896963,0.1567879223397497,0.17210643409391893,0.15516070757661352,0.045658486858588414,0.15959074160417225,0.17629317181675205,0.16966203992861417,0.08322891603111428,0.15635997939671822,0.17348253199260028
1996-06-01,1996-07-01,0,29,5,0.19419250497643362,0.1568972433387048,0.15895823353805288,0.11562120804244924,0.1559367581768827,0.15365249014110832,0.16318876650844763,0.10745263726771373,0.16916228834579022,0.1349474816921514,0.1585614484543928,0.14735385951512597
1996-07-01,1996-08-01,4,30,5,0.17594611328550044,0.1331568630969882,0.15767076901502522,0.136893551311023,0.1627985778928623,0.08576292425951702,0.16516005047476834,0.11661187883538765,0.1816658769596164,0.24631436587981934,0.15675861237222735,0.07628199851918216
1996-08-01,1996-09-01,4,30,5,0.17745175592803017,0.2710238059184378,0.16524240331122303,0.15231580962537677,0.16037986665355528,0.1294683623528839,0.15243819512937312,0.10084523374068052,0.18257279815381966,0.11707971770416507,0.16191498082399866,0.009339566101475271
1996-09-01,1996-10-01,0,30,5,0.18881401698953157,0.16666849299020584,0.15664015711383764,0.12145410763410297,0.16750621898173837,0.13119949185356497,0.16963474923350283,0.15919941902350487,0.1594326453834847,0.11317356410220458,0.15797221229790484,0.10298244371362067
1996-10-01,1996-11-01,4,30,5,0.1530753846436914,0.22870794424983282,0.1588840848080137,0.07852299650122607,0.16323682796447553,0.20864484769059083,0.15688071760833408,0.09541377204608721,0.19147657651667133,0.07703506558465098,0.1764464084588141,0.15879721191635804
1996-11-01,1996-12-01,0,30,5,0.1904196832297366,0.2340545402915125,0.16217854158723446,0.21018359008272774,0.15292096643840267,0.15683568409963144,0.1535093439702046,0.11130698471055266,0.17908659788596673,0.0680235434694918,0.161884866888455,0.05850255930800498
1996-12-01,1997-01-01,0,30,5,0.1808951948185517,0.1911840370596873,0.15964463682445015,0.1467119403415269,0.15895708461486,0.12966829540676636,0.16045900378171785,0.05546928809445863,0.1708915366490843,0.11047514035807511,0.16915254331133595,0.1629512632196225
1997-01-01,1997-02-01,0,30,5,0.18670125213829092,0.2911608241418131,0.15225188161757106,0.11558259584305573,0.15926854312892852,0.07165850471827609,0.1621039307973102,0.15004970315029076,0.1734035526339294,0.07165850471827609,0.16627083968396975,0.06932440586659566
1997-02-01,1997-03-01,2,30,5,0.1626012075626805,0.31752758195582603,0.1534314076918154,0.06186734109344765,0.19648354536244642,0.04880169850004443,0.15466835273361912,0.22442297494373975,0.15950317135038186,0.04880169850004443,0.1733123152990567,0.12754430072727085
1997-03-01,1997-04-01,2,30,5,0.14636777031390305,0.2829148954917019,0.171910479733489,0.16137414979967474,0.1988827520863131,0.13677615463662515,0.15874161187621047,0.041035176415511576,0.1543147971841786,0.1159407195846093,0.1697825888059059,0.08021789693255472
1997-04-01,1997-05-01,0,30,5,0.1790381230768857,0.30889764607294384,0.16958233711467582,0.13792896553522888,0.16210165633528462,0.06983248821729868,0.1634270214544903,0.09002927619680667,0.15615707952455452,0.06505307061331507,0.1696937824941089,0.13895883334811115
1997-05-01,1997-06-01,2,30,5,0.17655092254532845,0.30071672544809824,0.14378250210632249,0.045846075554636274,0.1904023909751861,0.09501073739084073,0.1678576532338714,0.09583145117777093,0.1672395767480758,0.0948169862936708,0.15416695439121575,0.1536389061535085
1997-06-01,1997-07-01,0,30,5,0.18883014237150217,0.3279371159361786,0.14805659475681573,0.1479129379344597,0.16386825648322637,0.0845112877462092,0.17664050131026876,0.09316589854390564,0.16226587562051184,0.08953921476125773,0.16033862945767519,0.08346980449698298
1997-07-01,1997-08-01,2,30,5,0.16572417951272655,0.22507242851244516,0.1568575913161267,0.022598751751735438,0.1950156616373454,0.08402144312176674,0.167427268902834,0.1934362009290757,0.1633673306073675,0.08975038717023162,0.15160796802359985,0.25509897130717096
1997-08-01,1997-09-01,0,30,5,0.1751035664809034,0.29116370040788514,0.15584704943683356,0.23204299510166576,0.16947015571874682,0.18000295463901253,0.1703846410500973,0.07714627819655949,0.1704952992267475,0.07432140047949143,0.15869928808667147,0.015226397085295947
1997-09-01,1997-10-01,5,30,5,0.16718804316871277,0.08875138619716438,0.1598385663978137,0.17387720089047126,0.16383481401777114,0.13832065321638035,0.1568278264157334,0.13140522808074928,0.15818326518372194,0.038451671880876045,0.19412748481624703,0.2200939847288628
1997-10-01,1997-11-01,2,30,5,0.15547750556641368,0.03710973170645797,0.15513795500780214,0.15983157975556642,0.1916291672046782,0.1912614662155914,0.15030318576192794,0.10049344044011863,0.16554420452047341,0.13485195256982244,0.18190798193870453,0.19105735646443384
1997-11-01,1997-12-01,3,30,5,0.15855861360118106,0.02134860031224539,0.17550404822101073,0.10016215473216317,0.16769375799210262,0.17218293573550217,0.18357938701186477,0.1456721352320235,0.1433668233197292,0.18538689317961907,0.1712973698541117,0.16095062460029758
1997-12-01,1998-01-01,5,30,5,0.15348280911603726,0.03192213100509903,0.17237749329237922,0.20998213500217533,0.155310633120084,0.09000932060252241,0.16158199802543616,0.16631051468526334,0.16830894347248684,0.15553718671978287,0.18893812297357643,0.16563331103702786
1998-01-01,1998-02-01,5,30,5,0.14511061860748634,0.011084838921405205,0.15495484061934434,0.18748807037145104,0.1693444325861821,0.15313835715450594,0.16660119547804542,0.1387864169367788,0.17610148347361676,0.17433272364201002,0.18788742923532517,0.17679235332756937
