sasdate_tp1,sasdate_t,ret_lo_2,ret_lo_3,ret_lo_4,ret_spy,ret_ew
2002-12-01,2002-11-01,-0.07302856768946528,-0.05887070116106724,-0.05079174932662632,-0.0277538736471467,-0.00975882417228264
2003-01-01,2002-12-01,-0.04481438255359791,-0.04403219566778792,-0.04403219566778792,-0.0531459969473768,-0.053310457388622834
2003-02-01,2003-01-01,-0.021778413088879466,-0.02206195639756917,-0.022285262671778355,-0.024817181309953,-0.02637977670328353
2003-03-01,2003-02-01,0.013502560548098123,0.013502560548098123,0.013502560548098123,0.027314740349086,0.029892297300495564
2003-04-01,2003-03-01,0.09280125202849211,0.08277669162427731,0.08219861877312401,0.0681075884693986,0.05909067380195918
2003-05-01,2003-04-01,0.125761397507045,0.125761397507045,0.125761397507045,0.0593038380283772,0.06542439783490932
2003-06-01,2003-05-01,-0.0188737666682214,-0.0188737666682214,-0.0188737666682214,0.0157774979691693,0.01198047586905375
2003-07-01,2003-06-01,0.0,0.0,0.0,-0.0002032042871074,-0.002153714709817282
2003-08-01,2003-07-01,0.0,0.0,0.0,0.0435487311425948,0.04730914318133755
2003-09-01,2003-08-01,0.005112683556375207,0.008999837211245164,0.008999837211245164,-0.003191570951681,-0.00651221445328413
2003-10-01,2003-09-01,0.05032448973848898,0.05700039482856982,0.05926592883596923,0.0383029164812529,0.038425010128084844
2003-11-01,2003-10-01,0.0244507429441482,0.0244507429441482,0.0244507429441482,0.0151905489406798,0.01710689301966645
2003-12-01,2003-11-01,0.05584750327816815,0.051058530277570485,0.047540109180020045,0.0386203508168334,0.04592653898811548
2004-01-01,2003-12-01,0.004483170601732674,0.01598650876054468,0.021072919130650673,0.0246332426455622,0.01679074122117622
2004-02-01,2004-01-01,0.02986610815997188,0.021559023583768083,0.031498326652640414,0.0192161211213981,0.03023000914870235
2004-03-01,2004-02-01,-0.020832066181232158,-0.01842286043280395,-0.022391814380433958,-0.0170553261356041,-0.018790543849422862
2004-04-01,2004-03-01,0.0,0.0,0.0,-0.0143261405020355,-0.00854778697204078
2004-05-01,2004-04-01,0.005272391808135464,9.59849158517418e-05,-0.002204584802178766,0.0049934196897505,0.00425969726626349
2004-06-01,2004-05-01,0.04123234893492486,0.04212055403727902,0.03755029622589716,0.0056987492741291,0.012801476631032278
2004-07-01,2004-06-01,0.011014058732189759,-8.296595825950121e-05,-0.004546232506389473,-0.0165579035825105,-0.01077996525301283
