run_id,strategy_id,n_months,start_month,end_month,cagr,ann_vol,sharpe,sortino,maxdd,avgdd,avgdd_all_months,positive_ratio,mean_turnover,total_cost,cash_ratio
dc7089ff210743ed9c8b77cde8472061,naive_lo_2,239,2003-02,2022-12,0.11667570081305287,0.15075508085932349,0.81164029628603329,1.2397567890876726,-0.46677635488478708,-0.13597237220660016,-0.089320763332369144,0.61506276150627615,0.97129953115459644,0,0.041841004184100417
dc7089ff210743ed9c8b77cde8472061,naive_lo_3,239,2003-02,2022-12,0.1056897150212152,0.14939679419693483,0.75134242961571995,1.1027388514605436,-0.46319402053170533,-0.14648004928310274,-0.095610408737087996,0.62761506276150625,0.8916845129912736,0,0.041841004184100417
dc7089ff210743ed9c8b77cde8472061,naive_lo_4,239,2003-02,2022-12,0.099990934972028531,0.14585273665870677,0.73042914878620546,1.0614959553752521,-0.46264118111986241,-0.14519137322421014,-0.094161769245826671,0.63598326359832635,0.83555696588529738,0,0.041841004184100417
dc7089ff210743ed9c8b77cde8472061,naive_lns_2,239,2003-02,2022-12,0.057698039520376845,0.15300940482955216,0.44521880352719811,0.64596444973406675,-0.41603116654258088,-0.16027134271658891,-0.12942413867908645,0.61924686192468614,1.1013316664146451,0,0
dc7089ff210743ed9c8b77cde8472061,naive_lns_3,239,2003-02,2022-12,0.047311030892732933,0.14757234353880155,0.38852634931399577,0.55770612067116787,-0.36948822102383916,-0.15005226339859404,-0.12179974518546965,0.60251046025104604,1.0010355597396263,0,0
dc7089ff210743ed9c8b77cde8472061,naive_lns_4,239,2003-02,2022-12,0.039771709483343562,0.14364230580644732,0.34502565252125661,0.4840453101704571,-0.39335993103432043,-0.15628241788639799,-0.12816466069344773,0.60669456066945604,0.94005611151388413,0,0
dc7089ff210743ed9c8b77cde8472061,naive_los_2,239,2003-02,2022-12,0.052537527843419668,0.17909532203851911,0.3768894765496793,0.55060261000742161,-0.4475836907045867,-0.18466857370480264,-0.1529890275880792,0.58577405857740583,1.1227228193435739,0,0
dc7089ff210743ed9c8b77cde8472061,naive_los_3,239,2003-02,2022-12,0.047061127762507593,0.16255914245503481,0.36572332686574394,0.52495554305731973,-0.39845291159036222,-0.15913453576093317,-0.13050363602151843,0.58577405857740583,1.0181046245034009,0,0
dc7089ff210743ed9c8b77cde8472061,naive_los_4,239,2003-02,2022-12,0.044089781490213191,0.1533209459363295,0.35985850078233145,0.50941311152337843,-0.36936980982903733,-0.14687587130857588,-0.11676324497334484,0.59832635983263593,0.96819539143648492,0,0
dc7089ff210743ed9c8b77cde8472061,naive_mx_2,239,2003-02,2022-12,0.074811191460968027,0.17810987468156686,0.49620671199808941,0.73204055587468297,-0.4925177542467204,-0.16976016158073037,-0.12998372204717012,0.61087866108786615,1.0539301171923618,0,0.008368200836820083
dc7089ff210743ed9c8b77cde8472061,naive_mx_3,239,2003-02,2022-12,0.069589000401932138,0.16246079636622854,0.49764078727317496,0.72056455428302668,-0.4533642128317249,-0.1569928601615016,-0.12086479610759954,0.61087866108786615,0.95017220401287239,0,0.008368200836820083
dc7089ff210743ed9c8b77cde8472061,naive_mx_4,239,2003-02,2022-12,0.062710043629194884,0.15765480396565093,0.4671143201958059,0.66382826610173007,-0.46224435403233943,-0.15700420146671107,-0.11955968479891803,0.62343096234309625,0.897510506266329,0,0.008368200836820083
dc7089ff210743ed9c8b77cde8472061,ridge_lo_2,239,2003-02,2022-12,0.1195469120159986,0.17987570327072186,0.72291113686797814,1.0762400354111163,-0.42903993281316877,-0.082246287623228748,-0.047145361524612295,0.64853556485355646,1.3304414268938412,0,0.008368200836820083
dc7089ff210743ed9c8b77cde8472061,ridge_lo_3,239,2003-02,2022-12,0.116570866046251,0.16950123322966887,0.74034091113071721,1.0969984881234822,-0.41641555831112376,-0.071810103496176933,-0.0429658778240724,0.64016736401673635,1.18671249642054,0,0.008368200836820083
dc7089ff210743ed9c8b77cde8472061,ridge_lo_4,239,2003-02,2022-12,0.11721908807892405,0.16507131697740857,0.7589874754524264,1.1298403264671038,-0.43070352274289114,-0.068260057820966114,-0.039128150299047516,0.64016736401673635,1.0879905649939716,0,0.008368200836820083
dc7089ff210743ed9c8b77cde8472061,ridge_lns_2,239,2003-02,2022-12,0.047171300923741027,0.15616257942703404,0.37586058249258747,0.5220228800247414,-0.52561979804262382,-0.17031425181050544,-0.13325843133290594,0.62343096234309625,1.3703461988872558,0,0
dc7089ff210743ed9c8b77cde8472061,ridge_lns_3,239,2003-02,2022-12,0.047071952290145103,0.14986886902257826,0.38462269941632715,0.52862088346707214,-0.52940159140451826,-0.17850782923024866,-0.13966930571571753,0.61506276150627615,1.22830383762017,0,0
dc7089ff210743ed9c8b77cde8472061,ridge_lns_4,239,2003-02,2022-12,0.051273864208572231,0.14688546435224975,0.41649132078120565,0.57754149156716117,-0.53624860828767429,-0.18857799727136837,-0.14518138702063507,0.62343096234309625,1.1375781857887901,0,0
dc7089ff210743ed9c8b77cde8472061,ridge_los_2,239,2003-02,2022-12,0.042896787339981007,0.18737594050178166,0.32094616032383194,0.446501032239355,-0.62445593860392168,-0.21446617342729896,-0.18395634122425225,0.58995815899581594,1.4022547408695378,0,0
dc7089ff210743ed9c8b77cde8472061,ridge_los_3,239,2003-02,2022-12,0.049306938787980238,0.17332803224889334,0.36756528327207799,0.50745247353413769,-0.58734552240743421,-0.21178788881906752,-0.17102536628485365,0.61087866108786615,1.2419225355881434,0,0
dc7089ff210743ed9c8b77cde8472061,ridge_los_4,239,2003-02,2022-12,0.05426390761465754,0.16373797515922811,0.40775126570874642,0.5636568880530356,-0.58540615809654528,-0.21791436906276418,-0.17050203771856445,0.61924686192468614,1.1627439922489138,0,0
dc7089ff210743ed9c8b77cde8472061,ridge_mx_2,239,2003-02,2022-12,0.063934515122937269,0.18453054863228269,0.43174623277511326,0.60659221452141432,-0.56005770761382467,-0.14224200897806105,-0.10474725347338387,0.61506276150627615,1.3808713649903794,0,0.0041841004184100415
dc7089ff210743ed9c8b77cde8472061,ridge_mx_3,239,2003-02,2022-12,0.073614478324919408,0.17263621296598772,0.50161352542155346,0.70454015557885319,-0.52020746564861453,-0.11705989628454515,-0.082774571012921044,0.63598326359832635,1.2352773335072551,0,0.0041841004184100415
dc7089ff210743ed9c8b77cde8472061,ridge_mx_4,239,2003-02,2022-12,0.077861298104388715,0.16446792553535988,0.54195754014580433,0.76243826296293582,-0.52192613581249692,-0.11871476983718465,-0.081461180976143452,0.63598326359832635,1.1451197469091692,0,0.0041841004184100415
dc7089ff210743ed9c8b77cde8472061,bl_lo_2,239,2003-02,2022-12,0.11391336447343527,0.1469278732116881,0.81195168039801624,1.23606712248294,-0.40082436415141887,-0.079851464298166641,-0.048445449051188964,0.62761506276150625,0.44741252898508282,0,0
